═══════════════════════════════════════════════
  MAZE BLUEPRINT - Architect's Plan
═══════════════════════════════════════════════
Generated: 03/03/2026 20:40:53
Total Walls: 0
Total Torches: 280

═══════════════════════════════════════════════
  WALL POSITIONS
═══════════════════════════════════════════════

═══════════════════════════════════════════════
  TORCH POSITIONS
═══════════════════════════════════════════════
[001] Pos: (39.00, 2.40, 144.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[002] Pos: (177.00, 2.40, -0.35) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[003] Pos: (135.00, 2.40, 66.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[004] Pos: (111.00, 2.40, 102.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[005] Pos: (177.00, 2.40, 90.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[006] Pos: (113.65, 2.40, 51.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[007] Pos: (54.35, 2.40, 153.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[008] Pos: (15.00, 2.40, 174.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[009] Pos: (105.00, 2.40, 36.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[010] Pos: (87.00, 2.40, 23.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[011] Pos: (35.65, 2.40, 21.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[012] Pos: (75.00, 2.40, 95.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[013] Pos: (114.35, 2.40, 159.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[014] Pos: (21.00, 2.40, 11.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[015] Pos: (3.00, 2.40, 120.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[016] Pos: (45.00, 2.40, 6.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[017] Pos: (-0.35, 2.40, 123.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[018] Pos: (131.65, 2.40, 33.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[019] Pos: (57.00, 2.40, -0.35) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[020] Pos: (5.65, 2.40, 81.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[021] Pos: (143.65, 2.40, 159.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[022] Pos: (111.00, 2.40, 132.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[023] Pos: (51.00, 2.40, 143.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[024] Pos: (9.00, 2.40, 60.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[025] Pos: (45.00, 2.40, 66.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[026] Pos: (93.00, 2.40, -0.35) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
