═══════════════════════════════════════════════
  MAZE BLUEPRINT - Architect's Plan
═══════════════════════════════════════════════
Generated: 03/03/2026 20:37:49
Total Walls: 0
Total Torches: 640

═══════════════════════════════════════════════
  WALL POSITIONS
═══════════════════════════════════════════════

═══════════════════════════════════════════════
  TORCH POSITIONS
═══════════════════════════════════════════════
[001] Pos: (42.35, 2.40, 147.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[002] Pos: (167.65, 2.40, 183.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[003] Pos: (131.65, 2.40, 51.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[004] Pos: (111.00, 2.40, 89.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[005] Pos: (180.35, 2.40, 87.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[006] Pos: (120.35, 2.40, 39.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[007] Pos: (54.35, 2.40, 159.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[008] Pos: (11.65, 2.40, 165.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[009] Pos: (105.00, 2.40, 17.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[010] Pos: (87.00, 2.40, 23.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[011] Pos: (35.65, 2.40, 27.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[012] Pos: (75.00, 2.40, 101.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[013] Pos: (111.00, 2.40, 149.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[014] Pos: (21.00, 2.40, 18.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[015] Pos: (-0.35, 2.40, 123.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[016] Pos: (45.00, 2.40, 5.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[017] Pos: (3.00, 2.40, 131.65) | Rot: (0.00, 0.00, 0.00) | Height: 2,40 | Inset: 0,35
[018] Pos: (135.00, 2.40, 30.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[019] Pos: (57.00, 2.40, 12.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[020] Pos: (12.35, 2.40, 81.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[021] Pos: (150.35, 2.40, 165.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
[022] Pos: (107.65, 2.40, 117.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[023] Pos: (51.00, 2.40, 156.35) | Rot: (0.00, 180.00, 0.00) | Height: 2,40 | Inset: 0,35
[024] Pos: (5.65, 2.40, 51.00) | Rot: (0.00, 90.00, 0.00) | Height: 2,40 | Inset: 0,35
[025] Pos: (48.35, 2.40, 69.00) | Rot: (0.00, 270.00, 0.00) | Height: 2,40 | Inset: 0,35
